source_id,note_id,url,title,published_at,format,status,body_coverage,image_text_coverage,audio_coverage,video_text_coverage,author_comment_coverage,last_checked,notes
ZS-0001,N240,https://www.xiaohongshu.com/explore/N240,Nature教的ai辅助科研小技巧,2026-08-14,video,partial,quarantined,quarantined,quarantined,quarantined,unavailable,2026-08-16,included_provisional; quarantined_due_later_missing-data_audit; export locator and URL are not independently verified
ZS-0025,N264,https://www.xiaohongshu.com/explore/N264,别再让ai只是帮你总结文献了。,2026-07-09,video,partial,reported_partial,reported_complete_unverified,reported_complete_unverified,reported_complete_unverified,unavailable,2026-08-16,included_provisional; reported_multimodal_detail_no_raw_artifact; export locator and URL are not independently verified
ZS-0026,N265,https://www.xiaohongshu.com/explore/N265,现在该学什么专业？查了很多资料用数据说话,2026-07-04,video,partial,reported_partial,reported_complete_unverified,reported_complete_unverified,reported_complete_unverified,unavailable,2026-08-16,included_provisional; reported_multimodal_detail_no_raw_artifact; export locator and URL are not independently verified
ZS-0027,N266,https://www.xiaohongshu.com/explore/N266,ai做科研机制图大法，可以随意修改的那种,2026-07-03,video,partial,reported_partial,reported_complete_unverified,reported_complete_unverified,reported_complete_unverified,unavailable,2026-08-16,included_provisional; reported_multimodal_detail_no_raw_artifact; export locator and URL are not independently verified
ZS-0028,N267,https://www.xiaohongshu.com/explore/N267,阅读文献三部曲，训练ai变成文献阅读大师,2026-06-27,video,partial,reported_partial,reported_complete_unverified,reported_complete_unverified,reported_complete_unverified,unavailable,2026-08-16,included_provisional; reported_multimodal_detail_no_raw_artifact; export locator and URL are not independently verified
ZS-0029,N268,https://www.xiaohongshu.com/explore/N268,以后不用焦虑找不到工作了。心淡淡的,2026-06-24,video,partial,reported_partial,reported_complete_unverified,reported_complete_unverified,reported_complete_unverified,unavailable,2026-08-16,included_provisional; reported_multimodal_detail_no_raw_artifact; export locator and URL are not independently verified
ZS-0030,N269,https://www.xiaohongshu.com/explore/N269,这套指令词，让ai教会你科研思维,2026-06-22,video,partial,reported_partial,reported_complete_unverified,reported_complete_unverified,reported_complete_unverified,unavailable,2026-08-16,included_provisional; reported_multimodal_detail_no_raw_artifact; export locator and URL are not independently verified
ZS-0031,N270,https://www.xiaohongshu.com/explore/N270,高考志愿就这么填～,2026-06-21,video,unavailable,not_extracted,not_extracted,not_extracted,not_extracted,unavailable,2026-08-16,excluded; later_audit_attributed_export_rows_to_non_target_authors; export locator and URL are not independently verified
ZS-0032,N271,https://www.xiaohongshu.com/explore/N271,人终其一生，追逐的不过是爱与自由,2026-06-20,video,unavailable,not_extracted,not_extracted,not_extracted,not_extracted,unavailable,2026-08-16,excluded; later_audit_attributed_export_rows_to_non_target_authors; export locator and URL are not independently verified
ZS-0033,N272,https://www.xiaohongshu.com/explore/N272,学点职场攻略，很多痛苦就迎刃而解了,2026-06-17,video,unavailable,not_extracted,not_extracted,not_extracted,not_extracted,unavailable,2026-08-16,excluded; later_audit_attributed_export_rows_to_non_target_authors; export locator and URL are not independently verified
ZS-0034,N273,https://www.xiaohongshu.com/explore/N273,都给我用agent,2026-06-12,video,discovered,not_extracted,not_extracted,not_extracted,not_extracted,unavailable,2026-08-16,included_provisional; metadata_only_detail_stream_conflicted_with_inventory; export locator and URL are not independently verified
ZS-0035,N274,https://www.xiaohongshu.com/explore/N274,简单到令人发指,2026-06-11,video,discovered,not_extracted,not_extracted,not_extracted,not_extracted,unavailable,2026-08-16,included_provisional; metadata_only_detail_stream_conflicted_with_inventory; export locator and URL are not independently verified
ZS-0036,N275,https://www.xiaohongshu.com/explore/N275,学AI的人其实反映了几个成功的必要素质,2026-06-10,video,discovered,not_extracted,not_extracted,not_extracted,not_extracted,unavailable,2026-08-16,included_provisional; metadata_only_detail_stream_conflicted_with_inventory; export locator and URL are not independently verified
ZS-0037,N276,https://www.xiaohongshu.com/explore/N276,你想知道的skill 知识 掌握里全都有,2026-06-09,video,discovered,not_extracted,not_extracted,not_extracted,not_extracted,unavailable,2026-08-16,included_provisional; metadata_only_detail_stream_conflicted_with_inventory; export locator and URL are not independently verified
ZS-0038,N277,https://www.xiaohongshu.com/explore/N277,没有任何人能在结构失权下守住自己,2026-06-06,video,discovered,not_extracted,not_extracted,not_extracted,not_extracted,unavailable,2026-08-16,included_provisional; metadata_only_detail_stream_conflicted_with_inventory; export locator and URL are not independently verified
ZS-0039,N278,https://www.xiaohongshu.com/explore/N278,ai写的东西 是怎么被发现的,2026-06-04,video,discovered,not_extracted,not_extracted,not_extracted,not_extracted,unavailable,2026-08-16,included_provisional; metadata_only_detail_stream_conflicted_with_inventory; export locator and URL are not independently verified
ZS-0040,N279,https://www.xiaohongshu.com/explore/N279,所有的不想做背后反映的都是失权和压抑,2026-06-02,video,discovered,not_extracted,not_extracted,not_extracted,not_extracted,unavailable,2026-08-16,included_provisional; metadata_only_detail_stream_conflicted_with_inventory; export locator and URL are not independently verified
ZS-0041,N280,https://www.xiaohongshu.com/explore/N280,当代微瑕人,2026-06-01,video,discovered,not_extracted,not_extracted,not_extracted,not_extracted,unavailable,2026-08-16,included_provisional; metadata_only_detail_stream_conflicted_with_inventory; export locator and URL are not independently verified
ZS-0042,N281,https://www.xiaohongshu.com/explore/N281,太好用了吧,2026-05-18,video,discovered,not_extracted,not_extracted,not_extracted,not_extracted,unavailable,2026-08-16,included_provisional; metadata_only_detail_stream_conflicted_with_inventory; export locator and URL are not independently verified
ZS-0043,N282,https://www.xiaohongshu.com/explore/N282,Ai智能体 做科研太好用了,2026-05-16,video,discovered,not_extracted,not_extracted,not_extracted,not_extracted,unavailable,2026-08-16,included_provisional; metadata_only_detail_stream_conflicted_with_inventory; export locator and URL are not independently verified
ZS-0044,N283,https://www.xiaohongshu.com/explore/N283,阅读文献最强ai是哪个,2026-05-15,video,discovered,not_extracted,not_extracted,not_extracted,not_extracted,unavailable,2026-08-16,included_provisional; metadata_only_detail_stream_conflicted_with_inventory; export locator and URL are not independently verified
ZS-0045,N284,https://www.xiaohongshu.com/explore/N284,AI生成图片真的可以用到论文里了！,2026-05-14,video,discovered,not_extracted,not_extracted,not_extracted,not_extracted,unavailable,2026-08-16,included_provisional; metadata_only_detail_stream_conflicted_with_inventory; export locator and URL are not independently verified
ZS-0046,N285,https://www.xiaohongshu.com/explore/N285,为什么企业更喜欢招高学历硕博生,2026-05-12,video,discovered,not_extracted,not_extracted,not_extracted,not_extracted,unavailable,2026-08-16,included_provisional; metadata_only_detail_stream_conflicted_with_inventory; export locator and URL are not independently verified
ZS-0047,N286,https://www.xiaohongshu.com/explore/N286,做科研 这几个ai你一定要知道,2026-05-09,video,discovered,not_extracted,not_extracted,not_extracted,not_extracted,unavailable,2026-08-16,included_provisional; metadata_only_detail_stream_conflicted_with_inventory; export locator and URL are not independently verified
ZS-0048,N287,https://www.xiaohongshu.com/explore/N287,我发现还有很多人都没用上AI,2026-05-08,video,discovered,not_extracted,not_extracted,not_extracted,not_extracted,unavailable,2026-08-16,included_provisional; metadata_only_detail_stream_conflicted_with_inventory; export locator and URL are not independently verified
ZS-0049,N288,https://www.xiaohongshu.com/explore/N288,科研人适合什么ai？,2026-05-04,video,discovered,not_extracted,not_extracted,not_extracted,not_extracted,unavailable,2026-08-16,included_provisional; metadata_only_detail_stream_conflicted_with_inventory; export locator and URL are not independently verified
ZS-0050,N289,https://www.xiaohongshu.com/explore/N289,你说方向 我给你选题,2026-05-02,video,discovered,not_extracted,not_extracted,not_extracted,not_extracted,unavailable,2026-08-16,included_provisional; metadata_only_detail_stream_conflicted_with_inventory; export locator and URL are not independently verified
ZS-0051,N290,https://www.xiaohongshu.com/explore/N290,用什么AI 以及怎么用,2026-04-29,video,discovered,not_extracted,not_extracted,not_extracted,not_extracted,unavailable,2026-08-16,included_provisional; metadata_only_detail_stream_conflicted_with_inventory; export locator and URL are not independently verified
ZS-0052,N291,https://www.xiaohongshu.com/explore/N291,博士学姐推荐的文献阅读法,2026-04-21,video,discovered,not_extracted,not_extracted,not_extracted,not_extracted,unavailable,2026-08-16,included_provisional; metadata_only_detail_stream_conflicted_with_inventory; export locator and URL are not independently verified
ZS-0053,N292,https://www.xiaohongshu.com/explore/N292,让AI如何帮你找工作,2026-04-20,video,discovered,not_extracted,not_extracted,not_extracted,not_extracted,unavailable,2026-08-16,included_provisional; metadata_only_detail_stream_conflicted_with_inventory; export locator and URL are not independently verified
ZS-0054,N293,https://www.xiaohongshu.com/explore/N293,不会引发任何道德争议,2026-04-17,video,discovered,not_extracted,not_extracted,not_extracted,not_extracted,unavailable,2026-08-16,included_provisional; metadata_only_detail_stream_conflicted_with_inventory; export locator and URL are not independently verified
ZS-0055,N294,https://www.xiaohongshu.com/explore/N294,大开眼界,2026-04-14,video,discovered,not_extracted,not_extracted,not_extracted,not_extracted,unavailable,2026-08-16,included_provisional; metadata_only_detail_stream_conflicted_with_inventory; export locator and URL are not independently verified
ZS-0056,N295,https://www.xiaohongshu.com/explore/N295,最新科研ai工具 90%的人都不知道,2026-04-13,video,discovered,not_extracted,not_extracted,not_extracted,not_extracted,unavailable,2026-08-16,included_provisional; metadata_only_detail_stream_conflicted_with_inventory; export locator and URL are not independently verified
ZS-0057,N296,https://www.xiaohongshu.com/explore/N296,读博读的就是心态,2026-04-08,video,discovered,not_extracted,not_extracted,not_extracted,not_extracted,unavailable,2026-08-16,included_provisional; metadata_only_detail_stream_conflicted_with_inventory; export locator and URL are not independently verified
ZS-0058,N297,https://www.xiaohongshu.com/explore/N297,最适合写论文的ai,2026-04-04,video,discovered,not_extracted,not_extracted,not_extracted,not_extracted,unavailable,2026-08-16,included_provisional; metadata_only_detail_stream_conflicted_with_inventory; export locator and URL are not independently verified
ZS-0059,N298,https://www.xiaohongshu.com/explore/N298,在AI时代读博的含金量,2026-03-29,video,discovered,not_extracted,not_extracted,not_extracted,not_extracted,unavailable,2026-08-16,included_provisional; metadata_only_detail_stream_conflicted_with_inventory; export locator and URL are not independently verified
ZS-0060,N299,https://www.xiaohongshu.com/explore/N299,ai新时代如何学习,2026-03-28,video,discovered,not_extracted,not_extracted,not_extracted,not_extracted,unavailable,2026-08-16,included_provisional; metadata_only_detail_stream_conflicted_with_inventory; export locator and URL are not independently verified
